"행정구역별(1)","행정구역별(2)",인구현황별(1),인구현황별(2),2019
"총계","소계",면적 (㎢),소계,100401.29
"총계","소계",전년말주민등록인구수 (명),소계,51826059
"총계","소계",성별 (명),소계,51849861
"총계","소계",성별 (명),남자,25864816
"총계","소계",성별 (명),여자,25985045
"총계","소계",연령별 (명),소계,51849861
"총계","소계",연령별 (명),0~14세(유소년),6466872
"총계","소계",연령별 (명),15~64세(생산가능),37356074
"총계","소계",연령별 (명),65세이상(고령),8026915
"총계","소계",외국인등록인구수 (명),소계,1278530
"총계","소계",외국인등록인구수 (명),남자,732432
"총계","소계",외국인등록인구수 (명),여자,546098
"총계","소계",인구밀도 (명/㎢),소계,516.18
"총계","소계",인구증가율 (%),소계,0.05
"서울특별시","소계",면적 (㎢),소계,605.24
"서울특별시","소계",전년말주민등록인구수 (명),소계,9765623
"서울특별시","소계",성별 (명),소계,9729107
"서울특별시","소계",성별 (명),남자,4744059
"서울특별시","소계",성별 (명),여자,4985048
"서울특별시","소계",연령별 (명),소계,9729107
"서울특별시","소계",연령별 (명),0~14세(유소년),1033250
"서울특별시","소계",연령별 (명),15~64세(생산가능),7217193
"서울특별시","소계",연령별 (명),65세이상(고령),1478664
"서울특별시","소계",외국인등록인구수 (명),소계,281876
"서울특별시","소계",외국인등록인구수 (명),남자,133666
"서울특별시","소계",외국인등록인구수 (명),여자,148210
"서울특별시","소계",인구밀도 (명/㎢),소계,16074.79
"서울특별시","소계",인구증가율 (%),소계,-0.37
"서울특별시","종로구",면적 (㎢),소계,23.91
"서울특별시","종로구",전년말주민등록인구수 (명),소계,153065
"서울특별시","종로구",성별 (명),소계,151290
"서울특별시","종로구",성별 (명),남자,73746
"서울특별시","종로구",성별 (명),여자,77544
"서울특별시","종로구",연령별 (명),소계,151290
"서울특별시","종로구",연령별 (명),0~14세(유소년),13364
"서울특별시","종로구",연령별 (명),15~64세(생산가능),110608
"서울특별시","종로구",연령별 (명),65세이상(고령),27318
"서울특별시","종로구",외국인등록인구수 (명),소계,10579
"서울특별시","종로구",외국인등록인구수 (명),남자,4469
"서울특별시","종로구",외국인등록인구수 (명),여자,6110
"서울특별시","종로구",인구밀도 (명/㎢),소계,6327.48
"서울특별시","종로구",인구증가율 (%),소계,-1.16
"서울특별시","중구",면적 (㎢),소계,9.96
"서울특별시","중구",전년말주민등록인구수 (명),소계,125725
"서울특별시","중구",성별 (명),소계,126171
"서울특별시","중구",성별 (명),남자,61910
"서울특별시","중구",성별 (명),여자,64261
"서울특별시","중구",연령별 (명),소계,126171
"서울특별시","중구",연령별 (명),0~14세(유소년),10543
"서울특별시","중구",연령별 (명),15~64세(생산가능),92654
"서울특별시","중구",연령별 (명),65세이상(고령),22974
"서울특별시","중구",외국인등록인구수 (명),소계,10317
"서울특별시","중구",외국인등록인구수 (명),남자,4913
"서울특별시","중구",외국인등록인구수 (명),여자,5404
"서울특별시","중구",인구밀도 (명/㎢),소계,12667.77
"서울특별시","중구",인구증가율 (%),소계,0.35
"서울특별시","용산구",면적 (㎢),소계,21.87
"서울특별시","용산구",전년말주민등록인구수 (명),소계,228999
"서울특별시","용산구",성별 (명),소계,228670
"서울특별시","용산구",성별 (명),남자,110356
"서울특별시","용산구",성별 (명),여자,118314
"서울특별시","용산구",연령별 (명),소계,228670
"서울특별시","용산구",연령별 (명),0~14세(유소년),21439
"서울특별시","용산구",연령별 (명),15~64세(생산가능),168885
"서울특별시","용산구",연령별 (명),65세이상(고령),38346
"서울특별시","용산구",외국인등록인구수 (명),소계,16515
"서울특별시","용산구",외국인등록인구수 (명),남자,9243
"서울특별시","용산구",외국인등록인구수 (명),여자,7272
"서울특별시","용산구",인구밀도 (명/㎢),소계,10455.88
"서울특별시","용산구",인구증가율 (%),소계,-0.14
"서울특별시","성동구",면적 (㎢),소계,16.86
"서울특별시","성동구",전년말주민등록인구수 (명),소계,308221
"서울특별시","성동구",성별 (명),소계,300889
"서울특별시","성동구",성별 (명),남자,147273
"서울특별시","성동구",성별 (명),여자,153616
"서울특별시","성동구",연령별 (명),소계,300889
"서울특별시","성동구",연령별 (명),0~14세(유소년),31559
"서울특별시","성동구",연령별 (명),15~64세(생산가능),225534
"서울특별시","성동구",연령별 (명),65세이상(고령),43796
"서울특별시","성동구",외국인등록인구수 (명),소계,8090
"서울특별시","성동구",외국인등록인구수 (명),남자,3588
"서울특별시","성동구",외국인등록인구수 (명),여자,4502
"서울특별시","성동구",인구밀도 (명/㎢),소계,17846.32
"서울특별시","성동구",인구증가율 (%),소계,-2.38
"서울특별시","광진구",면적 (㎢),소계,17.06
"서울특별시","광진구",전년말주민등록인구수 (명),소계,355559
"서울특별시","광진구",성별 (명),소계,351350
"서울특별시","광진구",성별 (명),남자,170262
"서울특별시","광진구",성별 (명),여자,181088
"서울특별시","광진구",연령별 (명),소계,351350
"서울특별시","광진구",연령별 (명),0~14세(유소년),33983
"서울특별시","광진구",연령별 (명),15~64세(생산가능),269686
"서울특별시","광진구",연령별 (명),65세이상(고령),47681
"서울특별시","광진구",외국인등록인구수 (명),소계,15622
"서울특별시","광진구",외국인등록인구수 (명),남자,6655
"서울특별시","광진구",외국인등록인구수 (명),여자,8967
"서울특별시","광진구",인구밀도 (명/㎢),소계,20594.96
"서울특별시","광진구",인구증가율 (%),소계,-1.18
"서울특별시","동대문구",면적 (㎢),소계,14.22
"서울특별시","동대문구",전년말주민등록인구수 (명),소계,348052
"서울특별시","동대문구",성별 (명),소계,346194
"서울특별시","동대문구",성별 (명),남자,172113
"서울특별시","동대문구",성별 (명),여자,174081
"서울특별시","동대문구",연령별 (명),소계,346194
"서울특별시","동대문구",연령별 (명),0~14세(유소년),33326
"서울특별시","동대문구",연령별 (명),15~64세(생산가능),253698
"서울특별시","동대문구",연령별 (명),65세이상(고령),59170
"서울특별시","동대문구",외국인등록인구수 (명),소계,16829
"서울특별시","동대문구",외국인등록인구수 (명),남자,6377
