년(Annual),시도,시군구,계,전,답,과수원,목장용지,임야,광천지,염전,대,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2018,서울,서울,605238966,10486237.8,11678379.5,320363.4,388,139332920.1,0,0,219186515.2,2929717.1,24550690,1139646.1,569645.2,109396,79092642.7,7156442.4,3851092.5,52166221.7,3518819.4,1481054.4,0,1582113.6,21584145.8,1471599.8,211683.4,2363851.1,1584762.4,2337888.2,16532750.2
2018,서울,종로구,23913317.6,820515.5,0,0,0,9372070.4,0,0,8172600.7,0,907880.7,22352.1,6737.3,0,2367538.4,932.9,10946.9,278625.4,169774.4,0,0,85.2,318054.5,0,0,105668.2,1244517.4,11001,104016.6
2018,서울,중구,9959837.2,0,0,0,0,1291056.2,0,0,5292524.4,4359.6,393798.6,26841.6,7647.4,0,2147062.3,125730.7,0,29443.2,14795.1,0,0,28260.6,446343.3,25315,0,111972.4,7518.7,0,7168.1
2018,서울,용산구,21866257.4,60662.6,0,0,0,1605057,0,0,10065201.7,0,521997.4,18909.3,8958.4,1974.9,2479225.2,1231197,155993,4776816.5,97375.9,44896.3,0,401.8,117456.4,484.6,0,87968.3,1581.4,43594,546505.7
2018,서울,성동구,16859545.5,179810.3,22417,0,0,262296.2,0,0,6255448.2,478226.8,946612.8,10162.9,4419.9,11044.6,2254382.4,296516.7,356306.8,3777125,88298.8,99371.4,0,262191,532591.8,22067.5,177666,70407.9,0,12165,740016.5
2018,서울,광진구,17063237.6,26993,11122,0,0,2482436.4,0,0,6991335.7,91.2,1059375.8,17891.5,21128.5,0,2491233.6,3220.7,172645,2524435.2,69037.5,37065.4,0,289068.5,721601.8,36739,0,53514.8,0,8367,45935
2018,서울,동대문구,14215221.9,46533,15280,0,0,733441,0,0,7798873.4,3910,1315849.7,7584.8,18107.9,0,2639889.8,423774,139591,574240.8,81258.2,4324,0,724,294761.5,5826,0,86567,0,8177,16508.8
2018,서울,중랑구,18495574.9,449509,197332,236680.3,0,2758994.6,0,0,6948234.1,4234.9,648733.5,90573.5,18993,8281.3,2729325.2,415061,170716,908517.9,175072.9,73119.3,0,3958,991431.7,0,0,80593.3,0,1413631.2,172582.2
2018,서울,성북구,24573424.8,64622,55509,0,0,8112921.2,0,0,10257479,0,1629213.8,11352.3,26813,1443.3,2730944.2,141725,33528,533684.4,152317.2,1434,0,6102.7,514922.7,0,0,189535.7,2694,53874,53309.3
2018,서울,강북구,23600564.2,73070,31576,0,0,12782130.9,0,0,6607249.3,4290.4,551611.2,25903,17429.6,192,1997160.7,0,65,332302.9,87496.9,2092,0,22944,726024,0,9716,158824.1,0,73785,96701.2
2018,서울,도봉구,20667161,246508,98442,25546,0,9601550.2,0,0,6160840.2,26643,741805.7,90997.3,19807.5,5252,2084028.6,178087.9,15287.7,473462.8,178073,21,0,403.1,521893.3,61527,0,56027.7,0,4224,76733
2018,서울,노원구,35438002.9,208957,188328,17574.1,0,15455417.6,0,0,9262054.6,3087.7,2494089.8,25306.3,25538.7,3103,2805043.3,643057.1,126642,1113195,108951.1,39268,0,92668,736200.9,640310,0,136096,0,17441,1295673.7
2018,서울,은평구,29708133.5,572105.1,441780.5,0,0,13478767.1,0,0,9667418.6,2568,638406.2,66725.7,21342.5,0,2888207.2,163455,737,497609.5,278891.6,2791.5,0,35946.2,542606.5,5104,0,121758.3,1081,25537,255295
2018,서울,서대문구,17624901.3,79449,4581,0,0,4667149.4,0,0,7175755.3,0,2192253,19363.9,10399.7,0,2160497.6,210619.4,3061,436001,72299.5,0,0,22777,423590,0,0,72777.6,119,56643,17564.9
2018,서울,마포구,23851231.1,311887.1,106886,0,0,380896.1,0,0,8576599.3,17024.7,706251.8,40115.6,12050.6,0,3472037.2,573947.7,222786.4,5756277.1,90600.4,88218.3,0,10150,2723835.9,0,6502.4,84961.9,0,10463,659739.6
2018,서울,양천구,17406824.5,107915,13740,0,0,1088625.8,0,0,8655322.7,6885.4,791657.4,180165.1,39473.5,0,3105319,235510.5,210259.9,446846,198856.3,149046.3,0,38586,1724849.2,146916.7,0,81543.8,0,974,184331.9
2018,서울,강서구,41436854.6,1314051.9,5315035.6,32560,0,2771662.9,0,0,10452905.5,167512.2,917389,108586.3,51895.1,15473.9,3993745.9,416630.9,613298.7,3689872,669389.2,189911.3,0,1420.9,1231885.2,39315.7,0,99305.4,3719,16053,9325235
2018,서울,구로구,20120140.8,492704,358362,0,0,3050721.4,0,0,8260441.7,586925.4,809975.2,28677.9,24332,9304,2856578.5,936694.8,67389.1,967891.9,292884.5,101146,0,27073,858735.1,1125,0,106422.6,0,14246,268510.7
2018,서울,금천구,13020303.3,36538,21517,0,0,2724003.9,0,0,5042986.4,1296286.8,357113.6,16640.2,15527.5,16326.2,2021431.1,213743.4,116769,620485,43881.6,44541.3,0,53981,238677.4,21949,0,29973.4,0,559,87372.5
2018,서울,영등포구,24548060.6,30426,38086,0,0,66639.6,0,0,9457486,315043.9,546524.9,44091.8,11878.4,15118.5,4267830.9,257751,313574.3,8077596.2,26663.5,109721.9,0,92857.3,629339.6,16498,0,190105.4,0,131,40696.4
2018,서울,동작구,16354391.5,31197,31886,0,0,2404174.9,0,0,7851295.9,782.1,978089,14995.6,10820.5,0,2345605.7,144739,9385.5,639358.7,69492.8,713,0,141575.2,980858.3,1714,0,115881.3,0,513989,67838
2018,서울,관악구,29568889.5,125362.5,57925,0,0,16101609,0,0,8200569.4,0,937666.3,17701.1,13968.9,0,2607712.2,0,15639.7,546011.2,114796.7,0,0,37545,610234.4,10486.3,0,79670.9,0,26,91964.9
2018,서울,서초구,46982953.6,2303240,1805226,5333,388,17941671.4,0,0,12871185.3,0,897244.5,28467.6,52283.1,3719,6264373.3,2338.2,217284.6,2487329.2,302141,83683.6,0,72009.3,871025.8,1982.5,0,33647.9,0,18530,719850.3
2018,서울,강남구,39500771,870575.1,1080528.4,0,0,6069022,0,0,16003477,8331,1477403.1,54835.3,66535.5,829.3,6698666,218424.5,114955.5,4026892.9,47912,101945.6,0,22897.6,1473464.2,6908.1,0,157852.2,0,30558,968757.7
2018,서울,송파구,33872729.2,750335,890590,0,0,1237277,0,0,14134542.1,0,1330264.4,102213.4,34702.2,15065,5963863,64648,425613.7,5344259,49500.8,264642,0,7100.2,2231266.8,423851.4,17799,26117,225728.9,1022,332328.3
2018,서울,강동구,24590636.5,1283271.7,892230,2670,0,2893327.9,0,0,9024688.7,3514,759482.6,69192,28854.5,2269,3720941.4,258637,338616.7,3307942.9,39058.5,43102.2,0,311388,1122495.5,3480,0,26658,97803,2898,358114.9
2018,부산,부산,769939357.6,20690487.2,71135817.7,2266171,1879348,344463240.2,383.1,60691,109259908.2,27501258.4,12473811.4,1209716,703351.7,1329300.6,57746205.5,4554292.9,2507521.7,43749812.1,12581820.3,1336954.3,37017,2999842.9,10999668,4517472,2467301.6,1777448.7,214911,2922535.6,28553069.5
2018,부산,중구,2825801.5,2213,0,0,0,105904,0,0,1494729,0,84077.3,31165.2,1242.2,2306.3,746500.7,72189.4,0,14123.9,15690.6,0,0,40181.3,170428.1,0,0,23230,0,0,21820.5
2018,부산,서구,13978431.6,417373.9,44534,0,0,6772764.4,0,0,3776071.9,123053.3,461428.4,22573.4,6625.2,82191,1345803.1,0,21474.3,22378.9,109450.1,1815,0,18462.5,25351.4,75491,18335.3,86126.4,0,133286.1,413842
2018,부산,동구,9735788.8,51171.3,18870,0,0,2734347,0,0,3616838.9,8783.9,209428.4,31034.3,12780,16705.2,1482381.6,565150.6,4045.8,54175,132883.9,0,0,50847.4,16109.2,0,0,50354.8,516,18514,660851.5
2018,부산,영도구,14200648.1,343284.2,117825.9,0,0,3906425.3,4,0,4114305.4,748043.1,1016818.1,67341.9,53567,114831.3,1350480.4,0,49872.7,0,144715.7,176,0,25128,109131.3,12876.8,1542761,110416.1,8625,56344,307674.9
2018,부산,부산진구,29666227.2,83220.6,226686.7,0,0,9633734.6,3,0,9199457.3,4424.9,1157404.1,43635.7,16934.5,14228.1,3133549.4,1071485.6,0,269241.6,336943.4,962,0,56430,3932752.2,13978,6361.6,144555.7,0,64986,255252.2
2018,부산,동래구,16633202.2,181774,109123.8,0,0,4375487.4,206,0,7156519.1,11745.9,676889.5,32137.3,21637.1,16089.8,2355844.6,102556.9,14438,545184.6,222618.4,204,0,98493,69416.4,194469,31352,118729.9,177532.1,24817,95936.4
2018,부산,남구,26813386,265918.3,112577,0,0,8368202.2,0,0,8325686.4,673835.1,1661640.5,81465.8,71207.3,89095,2733140.1,33986.9,44736.3,112816.6,153177,39,0,35330.8,100377.6,234289.3,950,87124.8,93,196956,3430741
2018,부산,북구,39367121.9,205701.2,662720.9,2622,0,21978534,0,0,6417205.1,9169.7,920799.8,41274.7,31904.8,10848.7,2352810.3,370977.3,69832,4713708.5,359091.9,6885,0,225740.9,482358.5,10767.3,0,85790.9,4873.4,165749,237756
2018,부산,해운대구,51476913.7,802302.7,971251.8,21155,593,27570514.9,159.7,0,9752228.5,377748.9,1192766.6,169535.4,45688.9,73377.2,4012076.1,351456.9,25978.8,1102058.2,639863.3,25482.3,0,28863.2,764283.9,173597.6,0,155975.4,2078.5,34133,3183743.9
2018,부산,사하구,41770795,1702969.1,163447,0,836,13349895.7,1,0,8227956.6,4607395.3,903058.1,88078.1,99059,327048.5,3879466.3,2211.3,110169,3382687.8,296293.8,613,0,58476.1,336886.8,2022.1,0,97054.7,126,129217,4005826.7
2018,부산,금정구,65278222.7,971771.8,3162564.2,8261,1689,40707965.4,0,0,7044480.4,594102.2,1370835.8,69103.9,34500.2,34500,3895798.9,342492.7,25225,1687448.7,724686.7,52090,0,2061892.1,101249.9,1559705.3,229796,224643.7,1987,119950,251482.8
2018,부산,강서구,181496515,8814099,43964136.7,65242,351366,41836242.3,0,60691,12084908.9,11826421.1,720580.6,184399.3,85942,215014.6,13200250.9,693672.8,1708978.9,20765798,6332490,539347.6,11548,164337,2672718.4,264672.6,614952.7,96083.2,17880,357321,13847420.4
2018,부산,연제구,12098453.2,34529.1,26841.7,0,0,2943617.7,9.4,0,5606539.5,12708.7,574274,63307,35831.2,5243.6,1760370.9,80723.5,3473,115362,147863,565,0,14897,57334.3,370337,0,83040.7,0,82792,78792.9
2018,부산,수영구,10207091.5,17428,4725,0,0,2342532,0,0,5222697.1,24434.7,321317.3,26696.7,18586.3,8180,1612074.2,0,25584,143187,92996.6,0,0,2532.5,84872.8,2108,0,163432.3,1200,2719,89788
2018,부산,사상구,36093161.9,122252,407390.9,0,0,12177027,0,0,6616620.5,3398207.4,586741,37858.8,82672,115234.7,3247908.4,219978,253678,7721679.1,454160,150810.6,0,52826,96686.6,9889,0,78032.3,0,51345.6,212164
2018,부산,기장군,218297597.3,6674479,21143122.1,2168891,1524864,145660046.3,0,0,10603663.6,5081184.2,615751.9,220108.5,85174,204406.6,10637749.6,647411,150035.9,3099962.2,2418895.9,557964.8,25469,65405.1,1979710.6,1593269,22793,172857.8,0,1484405.9,1459976.3
2018,대구,대구,883519269.9,39755584.1,73427631.9,2430977.1,1364563,472527272.5,7,0,89248653.3,26615331.6,10790054.2,950102.1,597129.2,1109327.1,59027585.2,2685637.5,3988876.1,44215831.1,11552534.3,5994677.5,34692,2310596.2,11688471.6,2720243.8,426764,1378534.4,53552,3962625.2,14662015.9
2018,대구,중구,7055438.9,0,0,0,0,0,0,0,4219737.7,0,332288.7,43409.7,9243.3,2826.6,1714726,43117.4,22867.9,246429,49884.3,0,0,8486.5,210887.1,0,0,149419.9,0,0,2114.8
2018,대구,동구,182160590.1,8607909.5,12916731.9,923159.7,66215,110111344,0,0,14884862.2,1093094.5,1050403,143090.6,176856.3,214251.5,10055857.3,854683.8,673035,6931106.4,1556724.3,1290850.5,0,60175.6,1819309.5,655533.6,27960,325365.6,47473,646071,7028526.3
2018,대구,서구,17328459.5,407798,187210,0,0,1956055,0,0,6024628.9,2686964.8,539693.1,37821.1,52758.3,123787.1,3409787.8,167709.6,29625,688752.2,141789.4,17609,0,42319,82240,6687,0,78188.7,0,43604,603431.5
2018,대구,남구,17430110.4,46445.3,450,0,0,4093764.5,0,0,6110416.4,0,849609.2,37363.6,25199.5,1527,2248892.4,292.4,4959,368592,140653,215,0,67804.1,2676401.9,3491,0,90859.1,0,4287,658888
2018,대구,북구,93979568.5,4495581.9,3648615.2,457945,145057,45909687.7,0,0,13745281.1,2775724.6,2037378.8,115334.4,97935.4,166780.6,8684129.5,147393.5,428110.2,5984497.4,1414401.9,399878.4,5417,169856.7,825009.8,352497,0,196503.3,0,372355,1404197.1
2018,대구,수성구,76534405.1,3171700.1,3532361.5,387599,20232,37397141.1,1,0,14013136.1,112872.9,1360669.5,107997.4,43816.1,20115.2,7523714.8,986083,215650,2591832.2,715320.3,618742.7,1373,323762.1,717508.3,1189423.2,23321,142044.5,0,83165.9,1234822.2
